         4758053 function calls (4748771 primitive calls) in 10.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.001    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:340(__init__)
      182    0.001    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:38(__init__)
       56    0.000    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:242(connection_from_pool_key)
     4814    0.007    0.000    0.007    0.000 /usr/lib/python3.6/_collections_abc.py:719(__iter__)
       42    0.001    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:255(doctype)
      343    0.001    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:50(merge_setting)
       56    0.001    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:160(get_netrc_auth)
    17332    0.007    0.000    0.007    0.000 {method 'encode' of 'str' objects}
    55956    0.007    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1029(__bool__)
       56    0.001    0.000    0.006    0.000 /usr/lib/python3.6/http/cookiejar.py:1334(add_cookie_header)
       56    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1048(__getattr__)
     2968    0.005    0.000    0.006    0.000 /usr/lib/python3.6/urllib/parse.py:109(_coerce_args)
       49    0.000    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:170(_new_pool)
       98    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/bs4/dammit.py:239(encodings)
      546    0.002    0.000    0.006    0.000 /usr/lib/python3.6/queue.py:115(put)
     1272    0.006    0.000    0.006    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     1071    0.003    0.000    0.006    0.000 /usr/lib/python3.6/urllib/parse.py:808(quote_from_bytes)
       49    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:161(__init__)
      672    0.002    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:52(get_full_url)
      560    0.003    0.000    0.006    0.000 /usr/lib/python3.6/email/message.py:462(get)
       49    0.001    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:82(_encode_params)
      874    0.006    0.000    0.006    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      224    0.001    0.000    0.005    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
     1078    0.001    0.000    0.005    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
       56    0.001    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:135(__init__)
      119    0.001    0.000    0.005    0.000 /usr/lib/python3.6/contextlib.py:85(__exit__)
       56    0.001    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:588(__init__)
       42    0.000    0.000    0.005    0.000 {built-in method strptime}
      874    0.002    0.000    0.005    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       49    0.001    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/bs4/dammit.py:298(find_declared_encoding)
       66    0.005    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:830(text)
     1092    0.003    0.000    0.005    0.000 /usr/lib/python3.6/threading.py:334(notify)
      252    0.002    0.000    0.005    0.000 /usr/lib/python3.6/email/message.py:497(get_all)
       49    0.000    0.000    0.005    0.000 /usr/lib/python3.6/http/client.py:942(close)
      224    0.000    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:89(origin_req_host)
      154    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:503(cookiejar_from_dict)
     1078    0.002    0.000    0.004    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
      112    0.000    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:289(_error_catcher)
      105    0.001    0.000    0.004    0.000 /usr/lib/python3.6/http/client.py:405(close)
       49    0.001    0.000    0.004    0.000 /usr/lib/python3.6/urllib/parse.py:830(urlencode)
      112    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:698(select_proxy)
      224    0.000    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:49(get_origin_req_host)
       56    0.000    0.000    0.004    0.000 /usr/lib/python3.6/http/cookiejar.py:1268(_cookies_for_request)
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.6/http/cookiejar.py:1250(_cookies_for_domain)
       56    0.000    0.000    0.004    0.000 /usr/lib/python3.6/email/feedparser.py:184(close)
      168    0.000    0.000    0.004    0.000 /usr/lib/python3.6/email/message.py:588(get_content_maintype)
       56    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:224(extend)
      105    0.003    0.000    0.004    0.000 /usr/lib/python3.6/http/cookiejar.py:455(parse_ns_headers)
      224    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:46(get_host)
       93    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1398(__init__)
       56    0.000    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:214(_get_conn)
       49    0.000    0.000    0.004    0.000 /usr/lib/python3.6/socket.py:413(close)
       63    0.000    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:174(release_conn)
      224    0.002    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:344(set_cookie)
       49    0.003    0.000    0.003    0.000 /usr/lib/python3.6/socket.py:409(_real_close)
       56    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:113(__init__)
      539    0.002    0.000    0.003    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
      588    0.001    0.000    0.003    0.000 /usr/lib/python3.6/urllib/parse.py:791(quote_plus)
       49    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:433(prepare_headers)
       56    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:252(_put_conn)
      287    0.002    0.000    0.003    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
       42    0.000    0.000    0.003    0.000 /usr/lib/python3.6/_strptime.py:562(_strptime_datetime)
     1659    0.003    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:53(__getitem__)
       56    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:323(request_url)
     5255    0.003    0.000    0.003    0.000 /usr/lib/python3.6/_collections_abc.py:698(__init__)
      930    0.003    0.000    0.003    0.000 /usr/lib/python3.6/socket.py:611(readable)
       98    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:110(__init__)
       42    0.001    0.000    0.003    0.000 /usr/lib/python3.6/_strptime.py:321(_strptime)
       63    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:82(copy)
       56    0.000    0.000    0.003    0.000 /usr/lib/python3.6/email/message.py:451(items)
      196    0.002    0.000    0.003    0.000 /usr/lib/python3.6/inspect.py:2450(__init__)
      3/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:966(_find_and_load)
       56    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:410(get_encoding_from_headers)
      112    0.001    0.000    0.003    0.000 /usr/lib/python3.6/posixpath.py:232(expanduser)
       14    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:1082(return_ok)
      3/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      343    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:244(to_key_val_list)
       56    0.001    0.000    0.003    0.000 /usr/lib/python3.6/email/message.py:459(<listcomp>)
      224    0.001    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:539(domain_match)
       56    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
     1225    0.001    0.000    0.003    0.000 <string>:12(__new__)
      210    0.002    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:750(__init__)
  434/350    0.001    0.000    0.003    0.000 /usr/lib/python3.6/http/cookiejar.py:1204(deepvalues)
      315    0.001    0.000    0.003    0.000 /usr/lib/python3.6/_collections_abc.py:664(__contains__)
      707    0.001    0.000    0.003    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:651(_load_unlocked)
     2247    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      714    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:150(__getitem__)
      224    0.001    0.000    0.002    0.000 /usr/lib/python3.6/http/cookiejar.py:680(reach)
       49    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:88(parser_for)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:672(exec_module)
       20    0.000    0.000    0.002    0.000 /usr/lib/python3.6/re.py:231(compile)
       20    0.000    0.000    0.002    0.000 /usr/lib/python3.6/re.py:286(_compile)
       56    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
      672    0.001    0.000    0.002    0.000 /usr/lib/python3.6/http/cookiejar.py:524(is_HDN)
       49    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:348(reset)
       56    0.001    0.000    0.002    0.000 /usr/lib/python3.6/socket.py:218(makefile)
        4    0.000    0.000    0.002    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
      210    0.001    0.000    0.002    0.000 /usr/lib/python3.6/http/cookiejar.py:1239(__init__)
      105    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/util/url.py:132(parse_url)
     1092    0.001    0.000    0.002    0.000 /usr/lib/python3.6/threading.py:254(_is_owned)
       56    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
       56    0.001    0.000    0.002    0.000 /usr/lib/python3.6/cgi.py:313(parse_header)
       49    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:733(default_headers)
       56    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:250(_init_decoder)
      105    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:523(merge_cookies)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      3/2    0.000    0.000    0.002    0.001 {built-in method builtins.exec}
     1141    0.001    0.000    0.002    0.000 /usr/lib/python3.6/threading.py:239(__enter__)
     1510    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        7    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:320(copy)
       98    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:87(__new__)
      112    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:349(update)
      539    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:208(add)
     1344    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:48(__setitem__)
       56    0.000    0.000    0.002    0.000 /usr/lib/python3.6/http/client.py:1071(putrequest)
      210    0.002    0.000    0.002    0.000 /usr/lib/python3.6/http/cookiejar.py:1367(_normalized_cookie_tuples)
